"filename", "language", "Python", "XML", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amazon-redshift-jdbc.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amazon-sl.yml", "YAML", 0, 0, 0, 14, 0, 0, 1, 15
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amd-historical.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amd-linux-firmware-export.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amd-linux-firmware.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amdplpa.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aml.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\amlogic-linux-firmware.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\ampas.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\ams-fonts.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\android-sdk-2009.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\android-sdk-2012.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\android-sdk-license.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\android-sdk-preview-2015.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\anepokis-1.0.yml", "YAML", 0, 0, 0, 17, 0, 0, 1, 18
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\animacion.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\anti-capitalist-1.4.yml", "YAML", 0, 0, 0, 7, 0, 0, 0, 7
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\antlr-pd-fallback.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\antlr-pd.yml", "YAML", 0, 0, 0, 21, 0, 0, 1, 22
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\anu-license.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aop-pd.yml", "YAML", 0, 0, 0, 6, 0, 0, 1, 7
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-1.0.yml", "YAML", 0, 0, 0, 18, 0, 0, 1, 19
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-1.1.yml", "YAML", 0, 0, 0, 28, 0, 0, 1, 29
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-2.0-linking-exception.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-2.0-runtime-library-exception.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-2.0.yml", "YAML", 0, 0, 0, 23, 0, 0, 1, 24
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-due-credit.yml", "YAML", 0, 0, 0, 13, 0, 0, 1, 14
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-exception-llvm.yml", "YAML", 0, 0, 0, 11, 0, 0, 1, 12
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apache-patent-provision-exception.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apafml.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apl-1.1.yml", "YAML", 0, 0, 0, 15, 0, 0, 1, 16
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aplicativo de gerenciamento de websites.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apostilasobjetiva.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\appfire-eula.yml", "YAML", 0, 0, 0, 18, 0, 0, 1, 19
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple inc. xcode and apple sdks agreement.yml", "YAML", 0, 0, 0, 5, 0, 0, 1, 6
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-attribution-1997.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-attribution.yml", "YAML", 0, 0, 0, 7, 0, 0, 1, 8
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-excl.yml", "YAML", 0, 0, 0, 6, 0, 0, 1, 7
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-mfi-license.yml", "YAML", 0, 0, 0, 6, 0, 0, 1, 7
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-mpeg-4.yml", "YAML", 0, 0, 0, 10, 0, 0, 1, 11
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-runtime-library-exception.yml", "YAML", 0, 0, 0, 27, 0, 1, 1, 29
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apple-sscl.yml", "YAML", 0, 0, 0, 6, 0, 0, 1, 7
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\appsflyer-framework.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apsl-1.0.yml", "YAML", 0, 0, 0, 21, 0, 0, 1, 22
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apsl-1.1.yml", "YAML", 0, 0, 0, 24, 0, 0, 1, 25
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apsl-1.2.yml", "YAML", 0, 0, 0, 27, 0, 0, 1, 28
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\apsl-2.0.yml", "YAML", 0, 0, 0, 23, 0, 0, 1, 24
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aptana-1.0.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aptana-exception-3.0.yml", "YAML", 0, 0, 0, 84, 0, 0, 1, 85
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\aravindan-premkumar.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\argouml.yml", "YAML", 0, 0, 0, 12, 0, 0, 1, 13
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\arm-cortex-mx.yml", "YAML", 0, 0, 0, 8, 0, 0, 1, 9
"d:\IDEWORK\lvmen\src\licensedcode\data\licenses\arm-llvm-sga.yml", "YAML", 0, 0, 0, 9, 0, 0, 1, 10
